# 來源:票 39 單刀歷史手術(2026-08-15)當時 git-filter-repo 留在 .git/filter-repo/commit-map 的表,票 84 動刀前自本尊複製保存。
# 產生時間:2026-08-15 20:42;票 84 改寫時該檔會被覆寫,此為動刀前的副本。
# 適用範圍:key(old 欄)是【票 39 改寫前】那一期的 sha,與上面那份不同期,兩份不可互換使用。97 條。
old                                      new
040861c4478fae9fb38dcd8fd3dd9efe072fbb32 58457836c05a4a485ff0c3773cad06d444c5a85c
0b7042b6fc9d3d20ad19ade6f1aefc03400ab0f0 b17fdc048570c75b59c7c1042b6cf21a2de200a2
0ed7a9a4734f57c50f279df3f493de629e5da0aa 1b5a104f6330a040f2df8c07d667449e0b8cc37b
0f3b0d328c1e601a8f18d975e46040596fcbad7b 5aa5717ec20d0468cdd1f9a90744328b857056b5
0ff4823002d6412f01a8162cb1196b77583b5ab0 e9e6197a920e6b50faeae8c9c4c56fef3f6a2c29
1648d636fb37a5b4ae6dea0f4c9f261385f19a14 eef064eff227f7a264a6b138769ec35b4e95233a
1cd72fde9f0575e48d338da0736b7b4526344842 1f22fb64f1f4fa9d193a4889755bae08629bab4a
1d0266ad21f7a0405bd44bbc43014e71bbc0e0ef 8875eca40cc3747acbf5414d366d3023175937fe
1f233fc9f23959194929489e5add5ce157d8f587 c5fbe695ae4876b1ee1d9fbebef68b6c36226795
22c6709a62b4d8d8ba9bdc94739004341b0a2e67 203a9a15e3c5104f988d2df805b0376b8418d5fc
23133bf4e64a872ecbedca3f468948700bc9d5eb 5db00abe84961a45123f12ca7c7f14d220d4caa6
2470835d45863e06a6152eaf776589ea307184e2 a39040a0fa26e57e78745effc7bea82a7709b7fb
27a71516b91bde5bcd58065c35a094f417b44f29 45215409a3a723f95b9d622f15bb56198915cc72
2952a7ff4588a2041dfeee25640e7e6248d2d47a da76b5eb59916265e58f31a48b81c56cbff90ece
32e1a1e6498aa260de085e1a4f22fd822a99c372 8f639a7c684481dfc3fc83a299ccaa10ae3e048c
34023cdfdaa837b8cfc17e0515f3155f71c4f261 796d900a92df13a56bf8ce7b2a5ff0f6b9783389
